tenure,MonthlyCharges,TotalCharges,is_new_customer,tenure_years,avg_monthly_spend,charge_increase,total_charges_per_month,total_services,has_multiple_services,has_premium_services,has_internet,has_fiber,contract_stability,is_electronic_payment,paperless_binary,gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2yr,tenure_group_2-4yr,tenure_group_4yr+,Churn,churn_probability,Contract,risk_tier,priority,recommended_action,contact_channel,discount_percentage,intervention_cost,retention_value,estimated_roi
42,103.8,4327.5,2.025459076863734,-1.2734820737397738,0.819559663010947,-0.9112084173225576,0.8194490022172175,-0.180628605160207,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,Yes,0.942134494591898,Month-to-month,HIGH,1,Personal outreach from account manager with 20% discount and priority support upgrade,Phone Call,20,249.12,959.11,2.85
17,64.7,1093.1,2.025459076863734,-1.192294286953811,0.5088415037362245,1.0974437691635277,0.5094886762791394,-0.180628605160207,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,Yes,0.9368886166228063,Month-to-month,HIGH,1,Personal outreach with 15% discount and 1-year contract upgrade offer,Phone Call,15,116.46000000000001,543.48,3.67
70,69.2,4872.35,2.025459076863734,-1.2328881803467924,0.6931238162847966,1.0974437691635277,0.6933215291626272,0.3021904809757259,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,No,0.9345628396412579,Two year,HIGH,1,"Personal outreach with 15% discount, priority support, and service review",Phone Call,15,62.28,1096.13,16.6
1,45.25,45.25,2.025459076863734,-1.2328881803467924,0.6394092408782621,1.0974437691635277,0.639737962178651,-0.180628605160207,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,Yes,0.9344867801566621,Month-to-month,HIGH,1,Personal outreach with 15% discount and 1-year contract upgrade offer,Phone Call,15,81.44999999999999,304.08,2.73
15,99.1,1426.4,2.025459076863734,-1.2734820737397738,1.245970753930513,-0.9112084173225576,1.2448200878130906,1.2678286532475918,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,False,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,Yes,0.9285981980316884,Month-to-month,HIGH,1,Personal outreach from account manager with 20% discount and priority support upgrade,Phone Call,20,237.84,832.44,2.5
2,104.4,242.8,2.025459076863734,-1.2734820737397738,0.487355673573611,-0.9112084173225576,0.4880552494855492,-0.6634476912961399,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,Yes,0.9221480732827125,Month-to-month,HIGH,1,Personal outreach from account manager with 20% discount and priority support upgrade,Phone Call,20,250.56000000000003,701.57,1.8
34,106.35,3549.25,2.025459076863734,-1.2734820737397738,0.3220800569381205,-0.9112084173225576,0.3231827356886992,-0.6634476912961399,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,Yes,0.9190390494293686,Month-to-month,HIGH,1,Personal outreach from account manager with 20% discount and priority support upgrade,Phone Call,20,255.24,982.67,2.85
6,19.7,113.5,2.025459076863734,-1.192294286953811,0.4790918927418365,-0.9112084173225576,0.4798116237957067,-0.6634476912961399,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,Yes,0.9174146571901217,Month-to-month,HIGH,1,Personal outreach with 15% discount and 1-year contract upgrade offer,Phone Call,15,35.459999999999994,148.93,3.2
4,20.85,62.9,2.025459076863734,-1.2734820737397738,0.1931650759624376,-0.9112084173225576,0.1945821749271561,-1.146266777432073,-1.708251739750117,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,Yes,0.9034357202816063,Month-to-month,HIGH,1,Personal outreach with 15% discount and 1-year contract upgrade offer,Phone Call,15,37.53,140.11,2.73
1,39.65,39.65,2.025459076863734,-1.2328881803467924,0.4443840132483835,-0.9112084173225576,0.4451883958983683,-0.6634476912961399,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,-0.711954092893819,0.8249435608710275,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Yes,0.8976081188322306,Month-to-month,HIGH,1,Personal outreach with 15% discount and 1-year contract upgrade offer,Phone Call,15,71.37,266.45,2.73
52,57.95,3042.25,2.025459076863734,-1.192294286953811,0.4779900552975999,1.0974437691635277,0.4787124737037277,-0.180628605160207,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,-0.711954092893819,-1.212204140297958,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,No,0.8855082000805781,One year,HIGH,1,"Personal outreach with 15% discount, priority support, and service review",Phone Call,15,52.155,764.94,13.67
1,20.2,20.2,-0.4937152329675415,-0.7457614596310135,1.4752316450063148,-0.9112084173225576,1.473521817665578,1.2678286532475918,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,0.8249435608710275,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,Yes,0.8748978884973132,Month-to-month,HIGH,1,Personal outreach with 15% discount and 1-year contract upgrade offer,Phone Call,15,36.36,135.74,2.73
10,79.85,887.35,2.025459076863734,-1.2734820737397738,0.5055359914035149,-0.9112084173225576,0.5061912260032025,-0.6634476912961399,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,-0.711954092893819,0.8249435608710275,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,Yes,0.8733685940543622,Month-to-month,HIGH,1,Personal outreach from account manager with 20% discount and priority support upgrade,Phone Call,20,191.64,603.67,2.15
52,21.0,1107.2,2.025459076863734,-1.2734820737397738,-1.3075375230878166,-0.9112084173225576,-1.3024602503482412,-1.629085863568006,-1.708251739750117,-0.4391865225036929,0.5262537460021993,-0.883212887936492,-0.8263866847785358,1.404584944424416,0.8249435608710275,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,Yes,0.8687309804368505,Two year,HIGH,1,"Personal outreach with 15% discount, priority support, and service review",Phone Call,15,18.9,332.64,16.6
64,54.6,3423.5,2.025459076863734,-1.2734820737397738,-1.3207595724186558,-0.9112084173225576,-1.315650051451989,-1.629085863568006,-1.708251739750117,-0.4391865225036929,0.5262537460021993,-0.883212887936492,-0.8263866847785358,1.404584944424416,0.8249435608710275,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,Yes,0.8592544358146228,Two year,HIGH,1,"Personal outreach with 15% discount, priority support, and service review",Phone Call,15,49.14,864.86,16.6
1,29.95,29.95,2.025459076863734,-1.1111065001678475,0.0421031623575994,1.0974437691635277,0.0438886973168354,-1.146266777432073,-1.708251739750117,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,-1.212204140297958,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Yes,0.8560450528962722,Month-to-month,HIGH,1,Personal outreach with 15% discount and 1-year contract upgrade offer,Phone Call,15,53.91,201.26,2.73
6,20.7,112.75,2.025459076863734,-1.2734820737397738,0.3832320350932517,-0.9112084173225576,0.3841855657935335,-0.6634476912961399,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,1.404584944424416,-1.212204140297958,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Yes,0.8544707256137758,Month-to-month,HIGH,1,Personal outreach with 15% discount and 1-year contract upgrade offer,Phone Call,15,37.26,156.49,3.2
22,84.15,1821.95,2.025459076863734,-1.1111065001678475,0.6780837351709674,-0.9112084173225576,0.6783181304071144,-0.6634476912961399,0.5853938132949187,-0.4391865225036929,0.5262537460021993,1.1322298549519194,-0.8263866847785358,-0.711954092893819,-1.212204140297958,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,No,0.8435807854668578,Month-to-month,HIGH,1,Personal outreach from account manager with 20% discount and priority support upgrade,Phone Call,20,201.96000000000004,706.86,2.5
